,id,recipeName,cook_time_minutes,prep_time_minutes,total_time_minutes,num_servings,tag_list,ingredient_list,cleanedIngredientList
86,7585.0,Air Fryer Falafel,30.0,10.0,40.0,4.0,"['air_fryer', 'middle_eastern', 'liquid_measuring_cup', 'dinner', 'measuring_spoons', 'ice_cream_scoop', 'dry_measuring_cups', 'lunch', 'weeknight', 'food_processor', 'low_calorie', 'low_sugar', 'low_fat', 'high_fiber', 'under_45_minutes', 'under_1_hour', 'dairy_free', 'vegan', 'vegetarian']","['chickpeas', 'large shallot', 'garlic', 'fresh parsley', 'fresh cilantro', 'scallions', 'kosher salt', 'ground cumin', 'paprika', 'all purpose flour', 'baking powder', 'nonstick cooking spray']","['chickpeas', 'large shallot', 'garlic', 'fresh parsley', 'fresh cilantro', 'scallions', 'kosher salt', 'ground cumin', 'paprika', 'all purpose flour', 'baking powder', 'nonstick cooking spray']"
87,2103.0,Chili Cheese-Stuffed Tots,,,,6.0,"['stove_top', 'appetizers', 'comfort_food', 'american', 'kid_friendly', 'stuffed', 'deep_fry', 'game_day', 'pan_fry', 'weeknight', 'saute_pan', 'cheese_grater', 'tongs', 'strainer', 'peeler', 'measuring_spoons', 'liquid_measuring_cup', 'dry_measuring_cups', 'high_protein', 'low_sugar']","['ground beef', 'cayenne pepper', 'cumin', 'onion powder', 'garlic powder', 'pepper', 'salt', 'ketchup', 'potato', 'flour', 'cheddar cheese cube', 'oil']","['ground beef', 'cayenne pepper', 'cumin', 'onion powder', 'garlic powder', 'pepper', 'salt', 'ketchup', 'potato', 'flour', 'cheddar cheese cube', 'oil']"
88,2049.0,Chicken Bacon Ranch Pockets,,,,8.0,"['microwave', 'oven', 'american', 'kid_friendly', 'big_batch', 'lunch', 'bake', 'weeknight', 'stuffed', 'mashup', 'liquid_measuring_cup', 'pyrex', 'mixing_bowl', 'dry_measuring_cups', 'measuring_spoons', 'wooden_spoon', 'plastic_wrap', 'chefs_knife', 'cutting_board', 'parchment_paper', 'baking_pan', 'oven_mitts', 'zipper_freezer_bags', 'low_sugar']","['warm water', 'yeast', 'sugar', 'all-purpose flour', 'sea salt', 'mixed olive']","['warm water', 'yeast', 'sugar', 'all-purpose flour', 'sea salt', 'mixed olive']"
89,6629.0,Freekeh With Chicken,,,,2.0,['middle_eastern'],"['chicken thighs', 'medium onion', 'freekeh', 'chicken broth', 'olive oil', 'ghee', 'ground cinnamon', 'allspice', 'turmeric powder', 'ground cardamom', 'salt and pepper']","['chicken thighs', 'medium onion', 'freekeh', 'chicken broth', 'olive oil', 'ghee', 'ground cinnamon', 'allspice', 'turmeric powder', 'ground cardamom', 'salt and pepper']"
90,1439.0,Garlic Parmesan Parchment-baked Chicken,,,,1.0,"['oven', 'american', 'gluten_free', 'kid_friendly', 'healthy', 'easy', 'dinner', 'bake', 'date_night', 'weeknight', 'parchment_paper', 'mixing_bowl', 'oven_mitts', 'cutting_board', 'chefs_knife', 'low_carb', 'high_protein', 'low_sugar', 'keto']","['parchment paper', 'chicken breast', 'zucchini', 'garlic', 'butter', 'Parmesan', 'salt', 'pepper']","['parchment paper', 'chicken breast', 'zucchini', 'garlic', 'butter', 'parmesan', 'salt', 'pepper']"
91,6092.0,Egyptian Bread Pudding,37.0,10.0,77.0,12.0,"['stove_top', 'liquid_measuring_cup', 'one_top_app_dessert', 'desserts', 'sauce_pan', 'bake', 'baking_pan', 'indulgent_sweets', 'oven_mitts', 'middle_eastern', 'mixing_bowl', 'sieve', 'oven', 'measuring_spoons', 'comfort_food', 'casual_party', 'special_occasion', 'high_fiber']","['whole milk', 'heavy cream', 'sugar', 'kosher salt', 'whole cardamom pods', 'whole clove', 'whole cinnamon sticks', 'orange peel', 'store bought mini palmiers', 'golden raisin', 'shelled pistachios', 'hazelnuts', 'unsweetened flaked coconut', 'slivered almonds', 'unsalted butter', 'mascarpone']","['whole milk', 'heavy cream', 'sugar', 'kosher salt', 'whole cardamom pods', 'whole', 'whole cinnamon sticks', 'orange peel', 'store bought mini palmiers', 'golden raisin', 'shelled pistachios', 'hazelnuts', 'unsweetened flaked coconut', 'slivered almonds', 'unsalted butter', 'mascarpone']"
92,6080.0,Tachin Joojeh,45.0,30.0,75.0,4.0,"['dry_measuring_cups', 'cutting_board', 'mixing_bowl', 'dinner', 'spatula', 'oven', 'saute_pan', 'middle_eastern', 'measuring_spoons', 'stove_top', 'oven_mitts', 'plastic_wrap', 'liquid_measuring_cup', 'bake', 'whisk', 'chefs_knife', 'tongs', 'persian', 'high_protein', 'high_fiber']","['full fat greek yogurt', 'lemon zest', 'garlic', 'ground turmeric', 'black pepper', 'fresh ginger', 'kosher salt', 'boneless, skinless chicken breast']","['full fat greek yogurt', 'lemon zest', 'garlic', 'ground turmeric', 'black pepper', 'fresh ginger', 'kosher salt', 'boneless, skinless chicken breast']"
93,5954.0,Falafel And Hummus In A Blender,,,,4.0,"['middle_eastern', 'dry_measuring_cups', 'one_top_app_veggies', 'comfort_food', 'tongs', 'healthy', 'lunch', 'blender', 'happy_hour', 'stove_top', 'measuring_spoons', 'fusion', 'deep_fry', 'weeknight', 'liquid_measuring_cup', 'dinner', 'vegetarian']","['vegetable oil', 'small shallot', 'fresh parsley leaf', 'garlic', 'chickpeas', 'ground cumin', 'ground coriander', 'freshly ground black pepper', 'kosher salt', 'all purpose flour', 'extra virgin olive oil']","['vegetable oil', 'small shallot', 'fresh parsley leaf', 'garlic', 'chickpeas', 'ground cumin', 'ground coriander', 'freshly ground black pepper', 'kosher salt', 'all purpose flour', 'extra virgin olive oil']"
94,5789.0,Roasted Cauliflower With Tahini Yogurt,18.0,15.0,37.0,8.0,"['middle_eastern', 'easy', 'gluten_free', 'thanksgiving', 'oven', 'sides', 'casual_party', 'mixing_bowl', 'american', 'chefs_knife', 'cupcake_pan', 'dry_measuring_cups', 'pyrex', 'liquid_measuring_cup', 'spatula', 'measuring_spoons', 'oven_mitts', 'baking_pan', 'bake', 'passover', 'high_fiber', 'under_45_minutes', 'under_1_hour', 'vegetarian']","['cauliflower', 'olive oil', 'kosher salt', 'black pepper', ""za'atar"", 'ground cumin']","['cauliflower', 'olive oil', 'kosher salt', 'black pepper', ""za'atar"", 'ground cumin']"
95,5740.0,Spicealicious Rack Of Lamb,,,,4.0,"['oven_mitts', 'special_occasion', 'middle_eastern', 'baking_pan', 'mixing_bowl', 'oven', 'bake', 'date_night', 'dinner', 'chefs_knife', 'thanksgiving', 'comfort_food', 'pyrex', 'measuring_spoons', 'dry_measuring_cups', 'cutting_board', 'spatula', 'high_protein']","['full-fat greek yogurt', 'garlic', 'fresh ginger', 'garam masala', 'ground turmeric', 'cayenne', 'kosher salt', 'black pepper', 'cashews', 'rack of lamb']","['full-fat greek yogurt', 'garlic', 'fresh ginger', 'garam masala', 'ground turmeric', 'cayenne', 'kosher salt', 'black pepper', 'cashews', 'rack of lamb']"
